Date,Open,High,Low,Close,Adj Close,Volume,Market Cap
2019-09-01,44.66000000,45.62000000,44.33000000,45.21000000,45.21000000,3540.93311000,3540.93311000
2019-09-02,45.23000000,47.55000000,44.71000000,46.82000000,46.82000000,7076.35045000,7076.35045000
2019-09-03,46.82000000,46.95000000,45.08000000,45.70000000,45.70000000,13634.99818000,13634.99818000
2019-09-04,45.49000000,46.07000000,44.49000000,44.83000000,44.83000000,6748.89295000,6748.89295000
2019-09-05,44.83000000,45.33000000,44.60000000,44.98000000,44.98000000,5720.53375000,5720.53375000
2019-09-06,44.90000000,47.02000000,44.21000000,45.86000000,45.86000000,13564.67970000,13564.67970000
2019-09-07,45.89000000,47.25000000,45.08000000,46.98000000,46.98000000,8770.14977000,8770.14977000
2019-09-08,47.00000000,48.66000000,47.00000000,48.28000000,48.28000000,9104.86341000,9104.86341000
2019-09-09,48.28000000,48.31000000,45.36000000,47.10000000,47.10000000,13557.15287000,13557.15287000
2019-09-10,46.98000000,47.43000000,44.53000000,44.93000000,44.93000000,7219.79532000,7219.79532000
2019-09-11,44.93000000,45.68000000,44.06000000,44.32000000,44.32000000,5449.78035000,5449.78035000
2019-09-12,44.39000000,44.82000000,43.48000000,44.60000000,44.60000000,5230.21905000,5230.21905000
2019-09-13,44.52000000,44.73000000,43.65000000,44.65000000,44.65000000,10178.23588000,10178.23588000
2019-09-14,44.63000000,46.84000000,44.34000000,46.19000000,46.19000000,6776.29153000,6776.29153000
2019-09-15,46.25000000,47.61000000,45.64000000,46.63000000,46.63000000,8409.92520000,8409.92520000
2019-09-16,46.63000000,49.93000000,46.61000000,48.62000000,48.62000000,12755.05710000,12755.05710000
2019-09-17,48.65000000,51.35000000,47.47000000,50.64000000,50.64000000,13307.35460000,13307.35460000
2019-09-18,50.75000000,53.36000000,50.14000000,52.74000000,52.74000000,16442.39035000,16442.39035000
2019-09-19,52.73000000,52.77000000,48.27000000,51.14000000,51.14000000,23662.54214000,23662.54214000
2019-09-20,51.19000000,51.33000000,47.76000000,48.87000000,48.87000000,14469.87389000,14469.87389000
2019-09-21,48.86000000,49.29000000,47.53000000,47.70000000,47.70000000,6270.98812000,6270.98812000
2019-09-22,47.72000000,47.76000000,45.66000000,46.13000000,46.13000000,8622.55267000,8622.55267000
2019-09-23,46.13000000,46.19000000,43.47000000,44.09000000,44.09000000,15346.64963000,15346.64963000
2019-09-24,44.04000000,45.92000000,29.69000000,35.92000000,35.92000000,48838.41928000,48838.41928000
2019-09-25,35.83000000,39.00000000,33.56000000,37.91000000,37.91000000,81999.77963000,81999.77963000
2019-09-26,37.91000000,39.15000000,33.12000000,34.92000000,34.92000000,41520.17423000,41520.17423000
2019-09-27,34.94000000,38.05000000,34.40000000,37.47000000,37.47000000,35322.87513000,35322.87513000
2019-09-28,37.48000000,41.34000000,36.94000000,40.30000000,40.30000000,69265.11409000,69265.11409000
2019-09-29,40.35000000,40.53000000,36.26000000,37.74000000,37.74000000,25909.13818000,25909.13818000
2019-09-30,37.71000000,39.99000000,36.26000000,38.69000000,38.69000000,28505.18124000,28505.18124000
2019-10-01,38.69000000,39.60000000,37.76000000,38.18000000,38.18000000,16307.59590000,16307.59590000
2019-10-02,38.18000000,38.39000000,37.23000000,38.13000000,38.13000000,11220.06392000,11220.06392000
2019-10-03,38.13000000,38.30000000,36.41000000,37.23000000,37.23000000,9357.94696000,9357.94696000
2019-10-04,37.23000000,37.61000000,35.91000000,37.04000000,37.04000000,13991.63457000,13991.63457000
2019-10-05,37.06000000,37.13000000,36.30000000,36.85000000,36.85000000,6307.59120000,6307.59120000
2019-10-06,36.85000000,37.03000000,35.25000000,35.57000000,35.57000000,14031.72051000,14031.72051000
2019-10-07,35.56000000,37.97000000,35.14000000,37.40000000,37.40000000,31221.17793000,31221.17793000
2019-10-08,37.42000000,38.08000000,36.00000000,36.48000000,36.48000000,23617.81091000,23617.81091000
2019-10-09,36.50000000,38.27000000,36.10000000,37.99000000,37.99000000,27398.90840000,27398.90840000
2019-10-10,38.00000000,38.11000000,36.95000000,37.43000000,37.43000000,20123.38293000,20123.38293000
2019-10-11,37.46000000,38.28000000,35.91000000,36.07000000,36.07000000,33258.21814000,33258.21814000
2019-10-12,36.06000000,37.13000000,35.79000000,36.59000000,36.59000000,24114.59492000,24114.59492000
2019-10-13,36.55000000,37.46000000,36.31000000,36.90000000,36.90000000,18001.05436000,18001.05436000
2019-10-14,36.94000000,37.35000000,36.44000000,37.04000000,37.04000000,19095.20262000,19095.20262000
2019-10-15,37.04000000,37.68000000,36.63000000,36.82000000,36.82000000,24159.87870000,24159.87870000
